Region,Fuel,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
US,Natural_Gas,14.97,16.14,17.04,18.24,19.63,20.70,21.34,21.55,21.38,20.64,18.94,19.32,18.93,18.99,19.62,19.21,18.75,17.43,16.35,17.47,16.81,15.75,16.75,17.52,18.61,18.61,19.02,19.67,20.16,20.63,21.53,21.92,22.05,21.68,21.75,22.62,21.62,22.32,21.68,21.77,21.43,21.12,22.47,22.64,22.23,23.33,23.70,24.77,25.45,26.00,26.77,26.97,26.64,29.58,30.62,29.95,29.76
Central_and_South_America,Natural_Gas,0.53,0.57,0.61,0.64,0.66,0.68,0.69,0.73,0.83,0.87,0.87,1.02,1.10,1.13,1.22,1.30,1.34,1.49,1.54,1.66,1.70,1.83,1.84,2.00,2.07,2.14,2.18,2.24,2.41,2.53,2.79,3.09,3.15,3.38,3.33,3.54,3.71,3.75,3.95,4.41,4.58,4.95,5.08,5.09,4.89,5.30,5.48,5.82,6.02,6.21,6.40,6.27,6.33,6.07,5.86,5.30,5.88
Europe,Natural_Gas,1.36,1.55,1.85,2.40,3.09,3.91,4.81,5.86,6.66,7.54,8.09,8.80,9.22,9.59,10.12,10.11,10.01,9.82,10.21,10.70,14.50,14.87,15.52,15.66,16.09,17.38,17.59,16.63,16.71,16.23,17.15,19.00,18.56,18.83,19.58,20.11,20.50,20.57,21.50,22.02,22.59,22.42,22.23,22.53,20.79,22.43,20.90,20.37,19.96,18.00,18.33,19.35,20.12,19.71,19.96,19.51,20.56
CIS,Natural_Gas,4.38,4.89,5.38,5.81,6.21,6.82,7.46,7.84,8.53,9.04,9.87,10.86,11.64,12.41,13.17,13.57,14.37,15.52,16.64,18.16,15.63,16.04,16.91,17.82,18.22,18.40,18.74,18.19,18.01,16.91,16.41,16.60,15.39,15.97,16.14,16.26,16.68,16.79,17.08,17.67,17.95,18.66,19.05,18.69,17.92,19.05,19.70,19.55,19.26,19.36,18.99,19.31,19.75,20.87,20.65,19.80,21.99
Middle_East,Natural_Gas,0.14,0.17,0.20,0.26,0.31,0.34,0.38,0.43,0.52,0.55,0.61,0.66,0.77,0.84,1.14,1.14,1.24,1.38,1.41,1.82,1.96,2.37,2.60,2.89,3.26,3.44,3.60,4.12,3.86,4.46,4.91,5.12,5.41,5.84,6.23,6.60,7.01,7.73,8.11,8.94,9.59,10.15,11.01,12.14,12.49,13.70,14.35,14.80,15.24,16.11,17.26,18.04,18.61,19.08,19.59,20.05,20.72
Africa,Natural_Gas,0.03,0.04,0.04,0.04,0.04,0.06,0.07,0.09,0.14,0.16,0.19,0.22,0.25,0.35,0.54,0.67,0.82,0.89,0.98,0.94,1.00,1.13,1.16,1.29,1.34,1.44,1.45,1.52,1.49,1.55,1.66,1.74,1.71,1.80,1.81,2.00,2.28,2.41,2.56,2.82,2.91,3.04,3.24,3.37,3.39,3.53,3.82,4.13,4.21,4.33,4.77,4.93,5.22,5.56,5.58,5.53,5.92
China,Natural_Gas,0.04,0.05,0.05,0.05,0.07,0.10,0.14,0.18,0.22,0.27,0.32,0.37,0.44,0.50,0.53,0.52,0.46,0.43,0.44,0.45,0.47,0.50,0.50,0.52,0.55,0.56,0.56,0.57,0.61,0.64,0.64,0.67,0.71,0.73,0.78,0.89,1.00,1.06,1.23,1.44,1.69,2.08,2.56,2.95,3.25,3.92,4.87,5.43,6.19,6.78,7.01,7.54,8.69,10.22,11.10,12.12,13.63
India,Natural_Gas,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.06,0.07,0.04,0.07,0.09,0.11,0.13,0.16,0.22,0.25,0.29,0.35,0.42,0.46,0.52,0.53,0.57,0.65,0.71,0.77,0.85,0.87,0.91,0.92,0.96,1.02,1.10,1.24,1.29,1.40,1.44,1.77,2.12,2.17,2.01,1.76,1.75,1.72,1.83,1.93,2.09,2.13,2.18,2.24
Asia_Pacific_excluding_India_and_China,Natural_Gas,0.15,0.17,0.19,0.22,0.28,0.39,0.45,0.51,0.63,0.80,0.90,1.05,1.31,1.60,1.87,2.09,2.15,2.26,2.52,3.02,3.29,3.56,3.78,4.03,4.17,4.49,4.97,5.31,5.57,6.09,6.35,6.97,7.54,7.65,8.32,8.94,9.49,9.90,10.66,11.14,11.76,12.44,13.08,13.74,13.54,14.67,15.29,16.39,16.73,16.87,17.04,17.01,17.18,17.59,,,
World,Natural_Gas,22.69,24.73,26.55,28.96,31.80,34.61,37.06,39.10,40.96,41.98,41.98,44.47,45.94,47.86,50.82,51.25,51.83,52.09,52.93,57.25,58.54,59.12,62.21,65.12,67.92,70.13,71.90,72.23,72.96,73.40,75.98,79.77,79.31,80.76,83.06,86.38,87.54,90.11,92.63,96.20,98.78,101.38,105.54,108.08,105.84,113.72,116.42,119.50,121.43,122.20,125.17,128.02,131.51,138.08,140.63,138.44,145.35
North_America_excluding_US,Coal,0.68,0.67,0.67,0.72,0.70,0.75,0.73,0.70,0.72,0.74,0.73,0.83,1.07,0.90,0.86,1.03,1.03,1.10,1.17,1.29,1.25,1.18,1.25,1.33,1.34,1.28,1.24,1.26,1.15,1.24,1.31,1.37,1.42,1.50,1.46,1.55,1.63,1.84,1.71,1.64,1.73,1.73,1.74,1.63,1.44,1.57,1.55,1.42,1.40,1.35,1.36,1.29,1.43,1.22,1.15,0.76,0.71
US,Coal,11.61,12.17,11.94,12.36,12.41,12.29,11.63,12.10,13.00,12.69,12.69,13.62,13.95,13.80,15.07,15.46,15.94,15.36,15.93,17.11,17.52,17.30,18.05,18.89,19.11,19.22,19.04,19.17,19.88,19.96,20.13,21.05,21.49,21.71,21.67,22.63,21.96,21.95,22.37,22.52,22.85,22.50,22.80,22.44,19.74,20.88,19.70,17.42,18.08,18.04,15.58,14.26,13.87,13.28,11.34,9.20,10.57
Central_and_South_America,Coal,0.24,0.24,0.26,0.25,0.27,0.30,0.28,0.27,0.28,0.31,0.33,0.33,0.37,0.40,0.42,0.45,0.44,0.45,0.50,0.57,0.66,0.67,0.74,0.73,0.79,0.66,0.70,0.74,0.74,0.79,0.80,0.82,0.89,0.87,0.86,0.88,0.83,0.83,0.88,0.93,0.87,1.01,1.08,1.15,0.97,1.17,1.25,1.31,1.44,1.51,1.48,1.44,1.41,1.39,1.42,1.31,1.46
Europe,Coal,21.94,21.05,20.37,20.68,20.95,20.61,19.73,19.06,19.36,19.19,18.74,19.62,19.57,19.93,20.80,21.19,20.83,20.95,21.24,21.21,26.06,25.84,26.05,25.51,25.20,24.00,22.61,21.28,19.89,18.75,18.54,18.02,17.52,17.04,16.09,16.56,16.41,16.40,17.06,16.77,16.38,17.15,17.38,16.38,14.67,15.34,15.98,16.34,15.80,14.84,14.20,13.69,13.04,12.91,11.02,9.48,10.01
CIS,Coal,12.45,12.91,13.11,12.99,13.18,13.07,13.33,13.71,13.85,13.92,14.32,14.30,14.56,14.47,14.58,14.13,14.04,14.26,14.29,14.16,10.28,10.61,10.80,10.72,10.35,9.62,8.91,8.39,7.57,6.77,6.26,6.05,5.52,5.21,5.18,5.28,5.33,5.38,5.50,5.39,5.18,5.35,5.33,5.74,5.26,5.29,5.57,5.84,5.52,5.39,5.45,5.33,5.22,5.56,5.45,5.08,5.17
Middle_East,Coal,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.05,0.05,0.05,0.03,0.05,0.05,0.04,0.08,0.10,0.11,0.12,0.13,0.13,0.13,0.12,0.13,0.15,0.17,0.20,0.21,0.22,0.26,0.28,0.30,0.30,0.32,0.36,0.38,0.40,0.40,0.41,0.41,0.42,0.40,0.40,0.42,0.43,0.50,0.47,0.47,0.44,0.41,0.40,0.39,0.40,0.36,0.34
Africa,Coal,1.16,1.16,1.19,1.24,1.25,1.30,1.38,1.38,1.47,1.53,1.62,1.73,1.77,1.72,1.83,1.96,2.29,2.52,2.57,2.75,2.83,2.90,2.98,3.20,3.01,3.16,3.07,3.09,3.14,3.22,3.32,3.37,3.45,3.37,3.48,3.47,3.51,3.36,3.66,4.03,3.74,3.79,3.86,4.25,4.23,4.19,4.13,4.03,4.07,4.26,4.03,4.27,4.27,4.19,4.43,4.17,4.21
China,Coal,4.79,5.12,4.56,4.52,5.46,6.95,8.01,8.47,8.58,8.49,9.57,9.80,10.78,11.84,12.25,12.74,12.67,13.41,14.36,15.62,17.05,17.83,19.34,20.78,21.77,22.08,23.16,24.23,25.81,27.51,27.85,29.14,28.55,28.34,29.16,29.56,31.09,34.08,40.62,47.36,55.46,60.91,66.33,67.38,70.58,73.22,79.71,80.71,82.43,82.48,80.92,80.19,80.56,81.05,81.70,82.38,86.17
India,Coal,1.49,1.48,1.51,1.56,1.66,1.57,1.59,1.68,1.66,1.88,2.02,2.10,2.20,2.13,2.26,2.37,2.67,2.64,2.80,2.95,3.09,3.32,3.64,3.91,4.25,4.59,4.89,5.18,5.36,5.53,5.87,6.04,6.32,6.53,6.47,6.88,6.94,7.25,7.59,8.08,8.84,9.18,10.04,10.87,11.83,12.14,12.76,14.02,14.87,16.36,16.55,16.88,17.44,18.58,18.59,17.40,20.09
Asia_Pacific_excluding_India_and_China,Coal,3.73,3.94,4.21,4.35,4.58,4.55,4.39,4.38,4.64,4.88,4.82,4.89,4.93,4.82,5.19,5.71,6.17,6.22,6.41,7.05,7.50,7.56,7.79,8.28,8.44,8.51,8.59,8.50,8.73,8.85,9.15,9.57,10.09,10.05,10.66,11.60,12.22,12.77,13.63,14.11,14.74,15.03,15.84,16.53,15.52,16.96,17.39,17.48,17.35,17.88,18.58,18.87,19.87,20.96,21.82,20.92,21.37
World,Coal,58.10,58.77,57.82,58.68,60.48,61.41,61.08,61.77,63.60,63.66,64.89,67.28,69.27,70.05,73.31,75.09,76.14,76.99,79.37,82.80,86.36,87.33,90.76,93.48,94.38,93.26,92.36,92.00,92.47,92.83,93.47,95.70,95.53,94.92,95.33,98.74,100.30,104.24,113.40,121.22,130.21,137.05,144.82,146.78,144.63,151.19,158.46,159.06,161.43,162.58,158.60,156.61,157.51,159.54,157.32,151.07,160.10
,Nuclear,0.00,0.00,0.00,0.01,0.01,0.01,0.04,0.07,0.16,0.15,0.13,0.18,0.27,0.32,0.36,0.39,0.41,0.39,0.50,0.53,0.62,0.73,0.79,0.85,0.81,0.77,0.90,0.86,1.00,1.14,1.08,1.02,0.94,0.82,0.85,0.82,0.86,0.85,0.85,0.99,1.01,1.06,1.01,1.02,0.96,0.92,0.98,0.98,1.08,1.09,1.05,1.03,1.02,1.04,1.02,0.99,0.94
