Region,Fuel,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
World,Hydro,9.83,10.47,10.71,11.28,11.94,12.50,13.06,13.68,13.87,15.24,15.42,15.36,15.88,17.19,18.05,18.43,18.83,19.17,19.99,20.67,21.08,21.36,21.65,22.34,22.22,22.98,23.52,23.51,24.93,25.08,26.44,26.79,27.26,27.48,27.68,28.17,27.27,27.60,27.38,29.22,30.01,30.96,31.28,32.89,32.64,34.26,34.69,35.95,37.17,37.93,37.60,38.67,38.99,39.84,40.15,41.09,40.26
North_America_excluding_US,Renewables,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.06,0.07,0.08,0.09,0.10,0.11,0.12,0.12,0.13,0.15,0.15,0.16,0.17,0.17,0.18,0.19,0.19,0.20,0.21,0.21,0.21,0.25,0.25,0.29,0.34,0.38,0.43,0.45,0.48,0.65,0.72,0.75,0.80,0.87,0.92,0.96
US,Renewables,0.15,0.16,0.16,0.18,0.19,0.19,0.19,0.21,0.23,0.23,0.22,0.25,0.27,0.28,0.29,0.30,0.31,0.30,0.33,0.40,0.41,0.43,0.48,0.47,0.57,0.73,0.78,0.84,0.88,0.89,0.86,0.85,0.88,0.88,0.91,0.95,0.97,1.09,1.15,1.25,1.34,1.57,1.79,2.22,2.51,2.89,3.25,3.50,3.99,4.30,4.53,5.13,5.60,5.88,6.20,6.65,7.48
Central_and_South_America,Renewables,0.03,0.03,0.03,0.03,0.04,0.05,0.07,0.07,0.07,0.07,0.07,0.08,0.10,0.12,0.14,0.16,0.15,0.19,0.23,0.26,0.30,0.36,0.37,0.38,0.41,0.40,0.41,0.42,0.41,0.44,0.45,0.48,0.48,0.46,0.49,0.45,0.44,0.49,0.50,0.54,0.57,0.57,0.73,0.90,1.01,1.21,1.21,1.29,1.50,1.72,2.03,2.15,2.35,2.65,2.95,3.02,3.35
Europe,Renewables,0.03,0.04,0.05,0.05,0.06,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.10,0.10,0.11,0.12,0.12,0.11,0.11,0.12,0.13,0.15,0.15,0.16,0.16,0.22,0.23,0.25,0.28,0.31,0.35,0.37,0.45,0.54,0.59,0.73,0.83,1.01,1.19,1.48,1.78,2.10,2.53,2.94,3.33,3.86,4.55,5.30,5.83,6.24,7.00,7.12,7.91,8.33,9.10,9.91,10.14
CIS,Renewables,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.07,0.10
Middle_East,Renewables,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.04,0.05,0.07,0.12,0.15,0.18
Africa,Renewables,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.07,0.07,0.08,0.09,0.13,0.19,0.23,0.27,0.32,0.39,0.44,0.47
China,Renewables,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.06,0.06,0.11,0.16,0.22,0.36,0.59,0.86,1.16,1.49,1.99,2.45,2.90,3.78,5.06,6.37,7.38,8.52,11.32
India,Renewables,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.08,0.09,0.12,0.14,0.19,0.24,0.29,0.33,0.40,0.49,0.56,0.63,0.71,0.78,0.88,1.05,1.31,1.48,1.58,1.79
Asia_Pacific_excluding_India_and_China,Renewables,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.06,0.08,0.18,0.20,0.22,0.23,0.24,0.25,0.27,0.29,0.24,0.25,0.25,0.25,0.28,0.30,0.32,0.34,0.37,0.41,0.45,0.45,0.48,0.51,0.56,0.62,0.66,0.71,0.75,0.80,0.92,1.02,1.13,1.31,1.57,1.82,2.02,2.30,2.78,3.19,3.53,4.12
World,Renewables,0.23,0.26,0.26,0.28,0.30,0.33,0.36,0.38,0.41,0.43,0.43,0.48,0.52,0.56,0.61,0.66,0.69,0.82,0.92,1.04,1.11,1.24,1.32,1.36,1.52,1.71,1.79,1.89,1.97,2.07,2.18,2.21,2.38,2.51,2.66,2.85,2.99,3.41,3.73,4.27,4.83,5.53,6.52,7.78,8.93,10.54,12.14,13.82,15.81,17.63,19.95,22.09,25.36,28.53,31.74,34.80,39.91
